STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
TEXAS,772,52,0,1,0,346345140.0,0.0,346345140.0,52,1,10791134,110381,267122,14229191,SOUTH,WEST SOUTH CENTRAL,1980
UTAH,7,0,0,0,0,0.0,0.0,0.0,0,0,1055817,10845,46523,1461037,WEST,MOUNTAIN,1980
VERMONT,10,0,0,0,0,0.0,0.0,0.0,0,0,371778,3700,14066,511456,NORTHEAST,NEW ENGLAND,1980
VIRGINIA,83,1,0,0,0,2802500.0,0.0,2802500.0,1,0,3711719,38532,65505,5346818,SOUTH,SOUTH ATLANTIC,1980
WASHINGTON,2,0,0,0,0,250000.0,0.0,250000.0,0,0,3365923,28922,84888,4132156,WEST,PACIFIC,1980
WEST VIRGINIA,76,15,0,0,0,5075500.0,0.0,5075500.0,15,0,1359433,10746,35172,1949644,SOUTH,SOUTH ATLANTIC,1980
WISCONSIN,262,53,0,3,0,19767780.0,0.0,19767780.0,53,3,3116178,31233,107051,4705767,MIDWEST,EAST NORTH CENTRAL,1980
WYOMING,45,0,0,0,0,275500.0,0.0,275500.0,0,0,488571,5008,36234,469557,WEST,MOUNTAIN,1980
ALABAMA,437,170,0,0,0,17800000.0,0.0,17800000.0,170,0,3744491,42347,90672,4040587,SOUTH,EAST SOUTH CENTRAL,1990
ARIZONA,61,24,0,6,0,2500.0,0.0,2500.0,24,6,2825112,35456,51612,3665228,WEST,MOUNTAIN,1990
ARKANSAS,320,14,0,3,0,775250.0,0.0,775250.0,14,3,1447660,21011,77085,2350725,SOUTH,WEST SOUTH CENTRAL,1990
CALIFORNIA,23,8,0,0,0,252500.0,0.0,252500.0,8,0,21925878,258926,163574,29760021,WEST,PACIFIC,1990
COLORADO,179,76,0,0,0,26160000.0,0.0,26160000.0,76,0,3155371,27178,77680,3294394,WEST,MOUNTAIN,1990
CONNECTICUT,14,7,0,0,0,2500.0,0.0,2500.0,7,0,2622966,26303,19991,3287116,NORTHEAST,NEW ENGLAND,1990
DELAWARE,14,1,0,0,0,250000.0,0.0,250000.0,1,0,526089,6548,5444,666168,SOUTH,SOUTH ATLANTIC,1990
